,T_ext,T1_L1,T2_L1,T3_L1,T4_L1,T5_L1,T6_L1,T7_L1,T8_L1,T9_L1,H1_L1,H2_L1,H3_L1,H4_L1,H5_L1,H6_L1,H7_L1,H8_L1,H9_L1,P1_L1,P2_L1,P3_L1,P4_L1,P5_L1,P6_L1,P7_L1,P8_L1,P9_L1,T1_L2,T2_L2,T3_L2,T4_L2,T9_L2,H1_L2,H2_L2,H3_L2,H4_L2,H9_L2,P1_L2,P2_L2,P3_L2,P4_L2,P9_L2,T7_L2,H7_L2,P7_L2
2023-12-01 10:00:00,281.6166666666666,294.2966666666666,349.72999999999996,287.74333333333334,273.12317485237685,273.12317485237685,273.12317485237685,265.8633333333333,265.8633333333333,265.8633333333333,471747.088594195,512381.1406537194,238068.05745724597,238068.05745724597,199934.53099790323,430908.9590482009,199934.53099790323,430908.9590482009,434267.92972770846,2859173.833625352,5247333.333333334,5247333.333333334,3482666.666666667,3482666.666666667,3482666.666666667,2859173.833625352,2859173.833625352,2859173.833625352,267.87,351.39,265.8633333333333,,238.52333333334224,466093.546281445,533286.9364618812,199934.53099790323,,436285.3003692927,1218270.275715223,2859173.833625352,2859173.833625352,,1218270.275715223,238.5233333333333,199934.53099790323,1218270.275715223
2023-12-01 11:00:00,281.58529411764704,295.67352941176466,350.13235294117646,287.20882352941175,273.16441278555413,273.16441278555413,273.16441278555413,265.4676470588235,265.4676470588235,265.4676470588235,473762.20611272193,513086.8238030935,236406.53252066713,236406.53252066713,200035.18204811172,430884.93827969057,200035.18204811172,430884.93827969057,434406.3175865762,2827739.6623390457,5221764.705882353,5221764.705882353,3486470.5882352944,3486470.5882352944,3486470.5882352944,2827739.6623390457,2827739.6623390457,2827739.6623390457,267.7382352941176,351.1264705882353,265.4676470588235,,238.62647058823984,465903.23307852977,533248.6181213213,200035.18204811172,,436300.3098587229,1222676.4363573203,2827739.6623390457,2827739.6623390457,,1222676.4363573203,238.62647058823526,200035.18204811172,1222676.4363573203
2023-12-01 12:00:00,281.3566666666666,297.87,352.07666666666665,287.34999999999997,273.2315128527705,273.2315128527705,273.2315128527705,265.53666666666663,265.53666666666663,265.53666666666663,476217.6236086225,515513.2511762815,236896.3151063956,236896.3151063956,200199.03479440228,430845.7204236758,200199.03479440228,430845.7204236758,434382.479081128,2833204.4065369125,5211333.333333334,5211333.333333334,3492666.666666666,3492666.666666666,3492666.666666666,2833204.4065369125,2833204.4065369125,2833204.4065369125,266.7833333333333,349.5833333333333,265.53666666666663,,238.83000000000555,464849.86149515316,531616.8345292921,200199.03479440228,,436329.5292246211,1231405.9838796537,2833204.4065369125,2833204.4065369125,,1231405.9838796537,238.82999999999998,200199.03479440228,1231405.9838796537
2023-12-01 13:00:00,280.6772727272727,299.7863636363636,352.35909090909087,285.49545454545455,273.34027678943403,273.34027678943403,273.34027678943403,266.19545454545454,266.19545454545454,266.19545454545454,477750.73763433425,517418.3556408304,231566.42470564359,231566.42470564359,200464.83577413837,430781.801273859,200464.83577413837,430781.801273859,434148.5250694558,2885755.2778272703,5022727.2727272725,5022727.2727272725,3502727.272727273,3502727.272727273,3502727.272727273,2885755.2778272703,2885755.2778272703,2885755.2778272703,265.8045454545454,349.8954545454545,266.19545454545454,,238.28636363636508,464232.5418698279,531544.0471436768,200464.83577413837,,436250.29970993346,1208191.0365523458,2885755.2778272703,2885755.2778272703,,1208191.0365523458,238.2863636363636,200464.83577413837,1208191.0365523458
2023-12-01 14:00:00,279.84375,294.28125,347.47499999999997,285.84999999999997,273.3378223188094,273.3378223188094,273.3378223188094,265.97499999999997,265.97499999999997,265.97499999999997,471609.69624689245,511004.2595825219,232479.4810125,232479.4810125,200458.83460246772,430783.24852305267,200458.83460246772,430783.24852305267,434228.1160632824,2868091.005844597,5091875.0,5091875.0,3502500.0,3502500.0,3502500.0,2868091.005844597,2868091.005844597,2868091.005844597,268.5875,352.08124999999995,265.97499999999997,,238.49374999999984,466806.6080567752,533934.2484463372,200458.83460246772,,436280.97001964675,1217008.6028175144,2868091.005844597,2868091.005844597,,1217008.6028175144,238.49374999999998,200458.83460246772,1217008.6028175144
2023-12-01 15:00:00,279.35909090909087,294.7590909090909,347.46,286.22999999999996,273.09424597343514,273.09424597343514,273.09424597343514,265.51,265.51,265.51,472659.21254175704,511386.12441875134,233799.50052950607,233799.50052950607,199863.94513942188,430925.77294396365,199863.94513942188,430925.77294396365,434391.7044005861,2831092.111740735,5046000.0,5046000.0,3480000.0000000005,3480000.0000000005,3480000.0000000005,2831092.111740735,2831092.111740735,2831092.111740735,268.03999999999996,350.22272727272724,265.51,,238.95000000000627,465999.3076069193,532292.1463088539,199863.94513942188,,436346.5071747647,1236574.3929424724,2831092.111740735,2831092.111740735,,1236574.3929424724,238.95,199863.94513942188,1236574.3929424724
2023-12-01 16:00:00,279.2857142857143,295.65714285714284,346.3142857142857,285.54285714285714,273.1252405756277,273.1252405756277,273.1252405756277,265.97142857142853,265.97142857142853,265.97142857142853,473218.6964728888,510022.4486056374,231655.67156839118,231655.67156839118,199939.5720127408,430907.7572543806,199939.5720127408,430907.7572543806,434229.3946271913,2867805.4933765596,5044285.714285715,5044285.714285715,3482857.1428571427,3482857.1428571427,3482857.1428571427,2867805.4933765596,2867805.4933765596,2867805.4933765596,268.49285714285713,351.50714285714287,265.97142857142853,,238.81428571428884,466521.93071947247,533343.7838426827,199939.5720127408,,436327.292188999,1230730.3510658033,2867805.4933765596,2867805.4933765596,,1230730.3510658033,238.8142857142857,199939.5720127408,1230730.3510658033
2023-12-01 17:00:00,279.18333333333334,294.66666666666663,345.4333333333333,284.6583333333333,273.31981927621086,273.31981927621086,273.31981927621086,265.6333333333333,265.6333333333333,265.6333333333333,472422.30041778355,509957.078398947,229239.27473110452,229239.27473110452,200414.82126311996,430793.8570328952,200414.82126311996,430793.8570328952,434348.8787622923,2840871.1555771856,4931666.666666666,4931666.666666666,3500833.3333333335,3500833.3333333335,3500833.3333333335,2840871.1555771856,2840871.1555771856,2840871.1555771856,268.525,352.5083333333333,265.6333333333333,,238.52500000000123,466727.36819169024,534575.1862832286,200414.82126311996,,436285.54399982415,1218341.3846008223,2840871.1555771856,2840871.1555771856,,1218341.3846008223,238.52499999999998,200414.82126311996,1218341.3846008223
2023-12-01 18:00:00,278.89166666666665,298.6166666666667,346.59166666666664,284.04166666666663,273.1304045192244,273.1304045192244,273.1304045192244,265.54999999999995,265.54999999999995,265.54999999999995,477057.71221170586,512067.54577800905,227584.5965958045,227584.5965958045,199952.17406483117,430904.75230240636,199952.17406483117,430904.75230240636,434377.8593366629,2834260.9868192403,4848333.333333333,4848333.333333333,3483333.3333333335,3483333.3333333335,3483333.3333333335,2834260.9868192403,2834260.9868192403,2834260.9868192403,268.68333333333334,351.2333333333333,265.54999999999995,,238.6833333333405,466785.73572182603,533310.311029517,199952.17406483117,,436308.5267907946,1225110.7134978534,2834260.9868192403,2834260.9868192403,,1225110.7134978534,238.6833333333333,199952.17406483117,1225110.7134978534
2023-12-01 19:00:00,278.3928571428571,293.65714285714284,343.27142857142854,285.0642857142857,273.1174936837301,273.1174936837301,273.1174936837301,265.8928571428571,265.8928571428571,265.8928571428571,470966.4796209455,507229.75246806693,230440.83881119543,230440.83881119543,199920.6676353008,430912.26343032415,199920.6676353008,430912.26343032415,434257.4359708551,2861529.4870117004,4945714.285714285,4945714.285714285,3482142.857142857,3482142.857142857,3482142.857142857,2861529.4870117004,2861529.4870117004,2861529.4870117004,269.34999999999997,352.8928571428571,265.8928571428571,,238.95000000000627,467271.810916832,534819.7450196475,199920.6676353008,,436346.5071747647,1236574.3929424724,2861529.4870117004,2861529.4870117004,,1236574.3929424724,238.95,199920.6676353008,1236574.3929424724
2023-12-01 20:00:00,277.7735294117647,296.0558823529411,343.785294117647,284.3970588235294,272.9216094805902,272.9216094805902,272.9216094805902,265.7735294117647,265.7735294117647,265.7735294117647,473887.8051582945,509029.2898853327,228738.21787719819,228738.21787719819,199443.0912527829,431025.4808642914,199443.0912527829,431025.4808642914,434299.7050675523,2852017.2694593957,4814117.647058823,4814117.647058823,3464117.6470588236,3464117.6470588236,3464117.6470588236,2852017.2694593957,2852017.2694593957,2852017.2694593957,269.02647058823527,352.2735294117647,265.7735294117647,,238.59117647059566,467173.3956730964,534251.1697057927,199443.0912527829,,436295.1888548964,1221167.3028525007,2852017.2694593957,2852017.2694593957,,1221167.3028525007,238.5911764705882,199443.0912527829,1221167.3028525007
2023-12-01 21:00:00,277.48125,296.3375,343.78125,283.25624999999997,273.0535370627613,273.0535370627613,273.0535370627613,265.60625,265.60625,265.60625,474385.93757539766,509506.2978874163,225456.81346891043,225456.81346891043,199764.6469136819,430949.3820595704,199764.6469136819,430949.3820595704,434358.3177341993,2838721.6131448667,4760000.0,4760000.0,3476250.0000000005,3476250.0000000005,3476250.0000000005,2838721.6131448667,2838721.6131448667,2838721.6131448667,269.2,352.09375,265.60625,,238.55625000000205,467362.1735245314,534163.9090716649,199764.6469136819,,436290.1054959949,1219675.2436728352,2838721.6131448667,2838721.6131448667,,1219675.2436728352,238.55624999999998,199764.6469136819,1219675.2436728352
2023-12-01 22:00:00,277.9,297.98749999999995,345.10625,283.36249999999995,273.0738955644442,273.0738955644442,273.0738955644442,265.3375,265.3375,265.3375,476551.104887047,511033.8926401566,225758.71464894136,225758.71464894136,199814.30141898396,430937.58267728996,199814.30141898396,430937.58267728996,434450.92548922065,2817456.063620601,4765000.0,4765000.0,3478125.0,3478125.0,3478125.0,2817456.063620601,2817456.063620601,2817456.063620601,269.525,351.95624999999995,265.3375,,238.5312500000024,467691.3692091849,534179.1611620185,199814.30141898396,,436286.45729804976,1218608.0702150841,2817456.063620601,2817456.063620601,,1218608.0702150841,238.53124999999997,199814.30141898396,1218608.0702150841
2023-12-01 23:00:00,278.125,301.075,347.94374999999997,283.25,272.9924129278075,272.9924129278075,272.9924129278075,264.69374999999997,264.69374999999997,264.69374999999997,480662.6882727758,514687.4556505012,225507.96761574224,225507.96761574224,199615.6185220214,430984.71810620045,199615.6185220214,430984.71810620045,434665.04078405234,2766992.385282778,4728750.0,4728750.0,3470624.9999999995,3470624.9999999995,3470624.9999999995,2766992.385282778,2766992.385282778,2766992.385282778,269.28749999999997,348.83124999999995,264.69374999999997,,238.69375000000628,467364.89368110825,531340.7820408302,199615.6185220214,,436310.02755427035,1225557.0353208343,2766992.385282778,2766992.385282778,,1225557.0353208343,238.69374999999997,199615.6185220214,1225557.0353208343
2023-12-02 00:00:00,278.58529411764704,295.8441176470588,345.2911764705882,284.02647058823527,273.0750928712733,273.0750928712733,273.0750928712733,265.43823529411765,265.43823529411765,265.43823529411765,473989.46862892713,510512.2463175059,227536.61055674026,227536.61055674026,199817.22193621384,430936.8882736344,199817.22193621384,430936.8882736344,434416.4376559108,2825413.2842700407,4849411.764705882,4849411.764705882,3478235.2941176468,3478235.2941176468,3478235.2941176468,2825413.2842700407,2825413.2842700407,2825413.2842700407,269.1088235294117,351.0382352941176,265.43823529411765,,238.65588235294555,467214.48123595625,533174.9973864459,199817.22193621384,,436304.5651712505,1223935.098973479,2825413.2842700407,2825413.2842700407,,1223935.098973479,238.65588235294115,199817.22193621384,1223935.098973479
2023-12-02 01:00:00,279.0875,296.98125,345.24375,284.075,272.95842350136166,272.95842350136166,272.95842350136166,265.36875,265.36875,265.36875,475368.43263890245,510555.05378918606,227708.58129033574,227708.58129033574,199532.78279943037,431004.308997389,199532.78279943037,431004.308997389,434440.25539419486,2819922.785619859,4838125.0,4838125.0,3467499.9999999995,3467499.9999999995,3467499.9999999995,2819922.785619859,2819922.785619859,2819922.785619859,269.03749999999997,349.97499999999997,265.36875,,238.84374999999926,467032.638585779,532120.3962117891,199532.78279943037,,436331.48402405577,1231997.387131861,2819922.785619859,2819922.785619859,,1231997.387131861,238.84374999999997,199532.78279943037,1231997.387131861
2023-12-02 02:00:00,278.90625,297.0125,344.64374999999995,284.43125,272.75401121623446,272.75401121623446,272.75401121623446,265.325,265.325,265.325,475448.436823786,509513.3900604457,228691.72663149977,228691.72663149977,199035.131111234,431121.25081092096,199035.131111234,431121.25081092096,434455.1863127627,2816469.817566882,4875000.0,4875000.0,3448749.9999999995,3448749.9999999995,3448749.9999999995,2816469.817566882,2816469.817566882,2816469.817566882,269.21875,350.9,265.325,,238.68125000000924,467305.78054952587,533099.0999827738,199035.131111234,,436308.2264710625,1225021.4635339295,2816469.817566882,2816469.817566882,,1225021.4635339295,238.68124999999998,199035.131111234,1225021.4635339295
